Overall Rating,Comments,Feedback Category
Satisfied,"Was easy, was fast",Thanks/Praise
Very Satisfied,Straightforward and easy to use with many options,Thanks/Praise
Disappointed,"I do think the site is slow and a little outdated. I also think the books are the same thing and to diverse. At some point can we get back to the norm and have all books here. Top sellers, top authors and the best of the best.",Products Offered/ Availability
Neutral,My account is showing an outstanding balance for an order placed in June. It was a purchase order and has been paid by my district.,Account Balance/Payment
Neutral,Book prices are too high.,Price
Very Satisfied,I LOVE SCHOLASTIC BOOKS OKAY,Thanks/Praise
Satisfied,I am happy that my beginning of the year order came so quickly! I hope all of the problems from last year have been taken care of. I would love to see an updated account balance quickly after an order is placed. Thank you.,Prior Year Shipping Delay
Satisfied,The process was very quick and easy,Thanks/Praise
Neutral,I was trying to order but your poo up sent me here before I could complete my order,Website- Survey Pop Up Issue
Very Satisfied,liked that I had more of a selection than what was in my flyer,Thanks/Praise
Very Disappointed,This is not user friendly to quickly make an order.,Website- General Comment/Navigation
Satisfied,I love scholastic books and as a teacher I get so excited to provide my students with quality books and scholastics allows me to do that at a affordable rate with its dollar books and deals.,Thanks/Praise
Neutral,I tried to search for a book available in a pack but it didn’t come up. It would be nice if search worked better,Website- Filter/Search Options
Satisfied,"I miss the dollar books each month.  It really helped building classroom libraries and sets for students.  I know there is a section that opens up when you reach a certain amount in your cart.  However, it is costly for educators to reach that goal.",Price
Neutral,"I miss the books that tell a story, like the Franklin series.  It told a nice story, always had a good lesson for the kids to ponder and beautiful illustrations.  Now it is all weird pictures with a few words on each page and no actual story.  bring back actual STORIES )",Products Offered/ Availability
Satisfied,"My mom told me to sign up but because she didn't send a referral code, neither of us gets bonus points",All Other
Neutral,"While I do think that the idea of this is rather nice, I am disappointed that there are not that many books that I find interest in.",Products Offered/ Availability
Very Satisfied,Effective,Thanks/Praise
Very Satisfied,"I love that we can now purchase these books online, becasue everytime we would miss the first few days of the book fair at school and by the time we were able to go buy the books they had picked out on the flyer with their teacher the books would already be gone.",Thanks/Praise
Disappointed,TEACHER'S CLASS CODE box should be on the first web page.  I had to did and dig to find how to add my teacher's code.,Connecting Teacher/Class Code
Neutral,I can’t figure out how to access the ewallet.,Website- General Comment/Navigation
Very Satisfied,Scholastic is a great opportunity to grow my classroom library without breaking the bank!,Thanks/Praise
Very Satisfied,"I am hoping that after last year's fiasco with delivery delays that this year's delivery experience is better,",Prior Year Shipping Delay
Satisfied,Keep up the good work,Thanks/Praise
Satisfied,"I love the book of the week option, but as a class of 12 students  we will never reach the total to open the dollar spot.",Price
Neutral,My only issue is that I wanted multiple books that I could only get in large package deals.,Products Offered/ Availability
Very Satisfied,"I like the ability to enter the code and automatically add to cart from the website. It's much more convenient than it was several years ago. There's no replacement for the excitement of the paper pamphlets for the kids to read, but I like being able to transfer that to an online order!",Kits
Very Satisfied,"Excellent value with the sale prices and excellent quantity of selection.  The site was easy to navigate and the selections were well described.  If any improvements, I would include some sample pages for some books that were missing page samples (understanding the licensing restrictions that may be in place per publisher) and perhaps bigger product images, or the ability to enlarge product images, for smaller screens (phones, laptops, etc.) - overall, great site - keep up the GREAT WORK!",Website- Mobile Compatability
Satisfied,I am actually in the middle of my order but I am grateful to be able to order books for my grandson and deliver to his school.,Website- Survey Pop Up Issue
Very Satisfied,"loved scholastic as a kid, love it now even more for my daughter and the ease in ordering online.",Thanks/Praise
Neutral,"It’s impossible as a parent to ensure your account is debt free. There was an issue last year where I was charged for the books I ordered and then a month or so after I already received my books, I was being charged again. Got an email that for some reason that the order was “never charged” even though it was in my PayPal account and tried to resolve issue through the email provided through PayPal, but no answer. Got a letter in mail that I still “owed” money for that same order and tried calling and there’s no easy way to deal with that over the phone either. Got tired of trying to speak to someone so I decided it wasn’t worth getting sent to collections if the issue was still unresolved…did the system operator to “pay” my balance (which is ALSO) impossible to figure out since it only asks how much you want to pay and doesn’t tell you how much you owe. And then it never gave me an actual “confirmation number.”  It literally just said “thanks…this is your",Account Balance/Payment
Satisfied,Trying to figure out how to get monthly subscription sent to my classroom.,All Other
