WeekOf,OverallRating,Comments,FeedbackCategory
9/1/2022,Satisfied,"I'm a retired teacher.  I want to order books for my grandkids, but it seems like I have to give a teacher code.  Maybe there is a different way to do this.  I couldn't log in as I usually do because I no longer teach.",Connecting Teacher/Class Code
9/1/2022,Satisfied,Books by level are not sorted well,Website Filter/Search Options
9/1/2022,Very Disappointed,"Not a secure website. I'd usually close any site that doesn't allow HTTPS. I somewhat regret that I didn't. I'm shocked, and somewhat resent, that you don't use HTTPS- a secure website.",All Other
9/1/2022,Satisfied,It is a little difficult to navigate from the different versions like the scholastic store to the parent portal and knowing which one you need to offer or connect the teacher to.,Website Performance/Navigation
9/1/2022,Satisfied,Need more feeling books like spots,Products Offered/Availability
9/1/2022,Disappointed,This survey popped up in the middle of my shopping. I am annoyed and want to log out.,Interrupted by Survey Pop-up
9/1/2022,Very Satisfied,Easy to do. No issues. Self explanatory.,Thanks/Praise
9/1/2022,Neutral,"Too many pop ups and questions.  Also, my bonus point total seems to be different in different locations. I should have a HUGE amount of points.",Interrupted by Survey Pop-up
9/1/2022,Satisfied,"I dislike that we half to wait to get our order summited from the teacher, it seems to take forever to get our order.",All Other
9/1/2022,Neutral,Hard to use on an Android. Everyone I tried to go back I had to stay all over again.,Website Mobile Compatibility
9/1/2022,Satisfied,It’d be nice to shop for all age groups as I have children in multiple grades,Website Filter/Search Options
9/1/2022,Very Satisfied,I just started shopping.,All Other
9/1/2022,Neutral,I didn't understand the site navigation well enough to find the leveled readers I was looking for.,Website Filter/Search Options
9/1/2022,Satisfied,Placing order,All Other
9/1/2022,Very Satisfied,I like how easy it is to find books online after looking at the physical paper with the item # feature.,Thanks/Praise
9/1/2022,Disappointed,my son is in spanish immersion and I am looking for chapter books in spanish.  I know there are more authors and book options for spanish readers but it is not easy to access them,Products Offered/Availability
9/1/2022,Very Satisfied,Thank you for having books available for an affordable price. I like having a library for my children.,Thanks/Praise
9/1/2022,Neutral,"I wanted to associate one of the books with another child, but I want all the books to come through this teacher in one order, not the other child’s teacher.",Website Performance/Navigation
9/1/2022,Satisfied,I am hoping the terrible shipping delays are over.  Nervous because last school year was awful,Hopeful Shipping Improves this Year
9/1/2022,Satisfied,"The book my child wanted was only available as part of a set. It's the ""There was an old lady"" book with the ghost on the cover.",Products Offered/Availability
9/1/2022,Very Satisfied,I couldn’t complete the order yet becoz this survey popped up.,Interrupted by Survey Pop-up
9/1/2022,Satisfied,Format for looking at different pamphlets can be more user friendly,Website Performance/Navigation
9/1/2022,Satisfied,Had some difficulties last year during the book fair trying to use a gift card i already had.  Need to make this more streamlined so my little kids don't struggle when trying to buy books at the school book fair.,Account Balance/Payment
9/1/2022,Neutral,The online method allows grandparents to purchase the books for the student also.,All Other
9/1/2022,Very Satisfied,I'm here to get the information to share with my students so they can order books. I'll be back to order soon!,Intend to Order in Future
9/1/2022,Very Disappointed,"I want to buy books for my Daughters classroom. She i s teaching a modified homeschool/classroom school which I can't f find on your school list. Can I buy the Dog on frog book     Carol Knapp  871 Valley View #A  Medford, OR 97504",Connecting Teacher/Class Code
9/1/2022,Satisfied,I'm glad to be back at school to get my parents involved in getting their kids hands on great books.    Have a great year!,Thanks/Praise
9/1/2022,Satisfied,"I tried to place an order on my mobile device. But when I tried to select the free  book with code READS, I was unable to select the complete button to add it to the cart.   I had to wait and place order on laptop.",Bonus Points/Rewards/Promos
9/1/2022,Neutral,I always find this site very difficult to navigate.  I want to know where do teachers go to get digital letters or information on how to send information to parents?,Website Performance/Navigation
9/1/2022,Neutral,Flyers are too touch sensitive.  I like the ability to search by grade,Website Filter/Search Options
9/1/2022,Neutral,"Filters on your site were a little confusing. I would select kindergarten but then would also get preschool. When I finally got to the kindergarten area, if I clicked to read more details about a book...after finished I could never get back the previous page. Instead it would take me back to the home page. Also it would be nice to see a specific list of what your child's teacher recommends not just teachers in general.",Website Filter/Search Options
9/1/2022,Very Satisfied,Very easy to use.  And great way to help kids receive free books for my friends son’s class,Thanks/Praise
9/1/2022,Satisfied,I need to return when I have more time to search for books.,Intend to Order in Future
9/1/2022,Very Satisfied,great site,Thanks/Praise
9/1/2022,Satisfied,Website is A little overwhelming,Website Performance/Navigation
9/1/2022,Satisfied,The site doesn’t view well on my phone.,Website Mobile Compatibility
9/1/2022,Satisfied,I would have like to reviewed ALL my history and bonus points from years past not just two years.,Website Performance/Navigation
9/1/2022,Satisfied,"Maybe it is user error, but setting up e-wallets for multiple children can easier.",Account Balance/Payment
9/1/2022,Satisfied,"I am struggling to find new books for my classroom as I have bought a lot of books from you over the past years.  I was looking to buy incentives for my classroom, they were expensive .  Thanks",Products Offered/Availability
9/1/2022,Very Satisfied,Amazing,Thanks/Praise
9/1/2022,Disappointed,It is very hard to locate and print ewallet information. The service is great for kids who are independent and are able to use this feature at school but locating the ewallet is close to impossible.,Account Balance/Payment
9/1/2022,Disappointed,"The teacher advised to create an e wallet for the easiest way to purchase books during the book fair. She also said donations are appreciated. It’s pretty challenging to determine what books she has selected for donations, and of those which books other parents have signed up to purchase. I also can’t see a way to create an e wallet.",Account Balance/Payment
9/1/2022,Satisfied,I'm hoping that orders are processed at a better rate this year. Last year I stopped placing orders because it was taking too long to get the books.,Hopeful Shipping Improves this Year
9/1/2022,Satisfied,The site is not always easy to navigate when you are just browsing.,Website Filter/Search Options
9/1/2022,Very Satisfied,Very easy experience!,Thanks/Praise
9/1/2022,Disappointed,Very confusing when already had account.  Had trouble figuring out how to link the class code.,Connecting Teacher/Class Code
